"Experiment: LG100_Quake_Fab","Analysis: Analysis 1","User: lab user","Plate: Plate 0001","Plate Type: 384 Well","Plate Order: Row","Export Date: 12/12/2018","Export Time: 10:55:47 AM"
"Well ID","Well Type","%GFP+","Count of All Events","Count of cells","singlet as % of cells"
"B02","Sample","0.291332847778587","9021","7161","95.8664990923055"
"B03","Sample","0.795165394402036","8105","6507","96.6343937298294"
"B04","Sample","1.7918470957145","8269","6916","96.8334297281666"
"B05","Sample","3.95702775290958","6699","5860","95.3071672354949"
"B06","Sample","6.67023363652577","6918","5869","95.5358664167661"
"B07","Sample","7.91569863923","7493","6246","96.4777457572847"
"B08","Sample","8.12551610239472","7283","6288","96.2945292620865"
"B09","Sample","8.54795386316954","7630","6622","95.5753548776805"
"B10","Sample","9.86758570651188","6698","5727","96.2633141260695"
"B11","Sample","8.81034482758621","7099","5989","96.8442143930539"
"B14","Sample","1.89757192409712","5987","5123","95.6666016006246"
"B15","Sample","5.81219235138205","6328","5522","95.6537486417964"
"B16","Sample","9.20493627351811","6122","5182","95.387881126978"
"B17","Sample","7.90680609062557","6523","5680","95.9683098591549"
"B18","Sample","9.38557435440783","6797","5803","96.7602963984146"
"B19","Sample","11.0612855007474","5860","4849","96.5766137347907"
"B20","Sample","11.0811539498517","4408","3854","96.2376751427089"
"B21","Sample","12.3470522803115","5591","4715","95.3340402969247"
"B22","Sample","12.6578472639808","4191","3461","96.0993932389483"
"B23","Sample","8.67707172054998","6746","5654","95.1892465511143"
"C02","Sample","0.340831629175188","7035","6077","96.5608030278098"
"C03","Sample","0.9688839202534","6592","5581","96.165561727289"
"C04","Sample","1.9393068773568","6854","5816","95.7530949105915"
"C05","Sample","4.05380160657575","6432","5564","96.2077641984184"
"C06","Sample","6.60202186919744","6046","5090","95.2259332023576"
"C07","Sample","8.85942760942761","5880","4952","95.9612277867528"
"C08","Sample","8.91575368341519","6305","5510","96.0798548094374"
"C09","Sample","9.68671920046127","6386","5397","96.4054104131925"
"C10","Sample","14.9659863945578","6436","5513","95.9912933067295"
"C11","Sample","14.8455318266639","6075","5044","95.6185567010309"
"C14","Sample","2.16121495327103","6288","5389","95.3052514381147"
"C15","Sample","6.16379310344828","5787","4837","95.9272276204259"
"C16","Sample","7.84077201447527","6019","5215","95.3787152444871"
"C17","Sample","8.34966679733438","6144","5300","96.2641509433962"
"C18","Sample","9.24798743373257","6085","5307","95.967589975504"
"C19","Sample","9.30369787568844","5960","5272","96.4339908952959"
"C20","Sample","8.50834679590738","6638","5793","96.1677887105127"
"C21","Sample","8.93173322840842","6142","5322","95.5092070650131"
"C22","Sample","9.26094062102778","6604","5734","96.0411580048831"
"C23","Sample","9.43606923506421","6535","5590","96.1180679785331"
"D02","Sample","0.0342231348391513","7231","6095","95.8818703855619"
"D03","Sample","0.123109391487865","6875","5892","96.5037338764426"
"D04","Sample","0.302383493418712","6725","5856","96.0040983606557"
"D05","Sample","2.03402366863905","6672","5639","95.9035289945026"
"D06","Sample","5.39019963702359","6532","5724","96.2613556953179"
"D07","Sample","8.26310380267215","5929","5053","96.2794379576489"
"D08","Sample","8.82567469000729","6606","5750","95.3739130434783"
"D09","Sample","10.0318133616119","5816","4899","96.2441314553991"
"D10","Sample","9.33358939888612","6371","5421","96.0523888581442"
"D11","Sample","10.4826254826255","6289","5418","95.6072351421189"
"D14","Sample","1.01452158344937","6229","5272","95.3528072837633"
"D15","Sample","2.50368188512518","6673","5673","95.7518068041601"
"D16","Sample","5.59526240555442","6047","5089","96.227156612301"
"D17","Sample","7.95269168026101","5860","5082","96.4974419519874"
"D18","Sample","8.00450958286359","5412","4568","97.0884413309982"
"D19","Sample","9.88286969253294","6638","5679","96.2141222046135"
"D20","Sample","10.2139037433155","6707","5822","96.3586396427344"
"D21","Sample","9.58474167069049","5052","4284","96.6853408029879"
"D22","Sample","9.42083490033847","6415","5510","96.5154264972777"
"D23","Sample","9.68998539198182","7405","6333","97.2840675825043"
"E02","Sample","0.300953017889985","7271","6208","96.3434278350515"
"E03","Sample","0.0512732866176722","6956","6040","96.8708609271523"
"E04","Sample","0.38574577516532","6773","5664","96.1158192090395"
"E05","Sample","3.43210802700675","6470","5587","95.4358331841775"
"E06","Sample","7.2876932342903","5998","5214","95.5312619869582"
"E07","Sample","9.77588871715611","6179","5396","95.9229058561898"
"E08","Sample","9.73941970060987","6464","5599","96.6422575459903"
"E09","Sample","10.2012898182529","6211","5306","96.4379947229551"
"E10","Sample","10.6382978723404","6147","5370","96.2756052141527"
"E11","Sample","8.94717261904762","6566","5617","95.7094534448994"
"E14","Sample","0.554426168915173","6580","5666","95.4994705259442"
"E15","Sample","2.51283932501834","6548","5657","96.3761711154322"
"E16","Sample","6.10827374872319","5916","5109","95.8113133685653"
"E17","Sample","7.67248215701824","6138","5239","96.2779156327543"
"E18","Sample","9.06327189815694","6472","5457","96.4449331134323"
"E19","Sample","9.86364441296264","6688","5850","96.5299145299145"
"E20","Sample","10.0828231904933","6648","5799","95.7751336437317"
"E21","Sample","10.0415101798774","6126","5235","96.6380133715377"
"E22","Sample","9.11016949152542","6921","5854","96.7543559959002"
"E23","Sample","11.4775004554564","6976","5679","96.6543405529142"
"F02","Sample","2.53565768621236","6976","5935","95.6866048862679"
"F03","Sample","2.54438952956251","6575","5646","96.7587672688629"
"F04","Sample","3.25029194239003","6321","5371","95.6618879165891"
"F05","Sample","5.19142112647825","6100","5189","96.1456928117171"
"F06","Sample","7.99369954715495","6088","5279","96.2114036749384"
"F07","Sample","10.1208459214502","6339","5483","96.5894583257341"
"F08","Sample","8.95788722341185","6797","5785","96.8712186689715"
"F09","Sample","9.19312169312169","7160","6323","95.6507986715167"
"F10","Sample","9.04636920384952","6928","5962","95.8570949345857"
"F11","Sample","9.72953986652617","6902","5905","96.4267569856054"
"F14","Sample","4.61063713922672","6519","5708","96.5136650315347"
"F15","Sample","8.55504587155963","5520","4567","95.4674841252463"
"F16","Sample","8.74439461883408","5857","5088","96.4229559748428"
"F17","Sample","8.23970037453184","6552","5798","96.7057606071059"
"F18","Sample","8.77160379111689","6549","5549","96.972427464408"
"F19","Sample","8.96431679721497","6737","5954","96.489754786698"
"F20","Sample","8.41071428571428","6612","5812","96.3523743977977"
"F21","Sample","8.98216159496327","5814","4993","95.4336070498698"
"F22","Sample","8.99003197291706","6348","5535","96.0614272809395"
"F23","Sample","10.6772207563764","6900","5935","95.787700084246"
"G02","Sample","2.08562019758507","6630","5748","95.0939457202505"
"G03","Sample","2.51729438893159","6346","5400","96.3703703703704"
"G04","Sample","3.37988261485529","5905","5116","96.5793588741204"
"G05","Sample","4.80258162490509","6330","5483","96.0787889841328"
"G06","Sample","6.27027027027027","5457","4847","95.4198473282443"
"G07","Sample","8.22557471264368","6666","5791","96.1491970298739"
"G08","Sample","10.7612594659227","6090","5271","95.2001517738569"
"G09","Sample","10.342666109486","5767","4965","96.3947633434038"
"G10","Sample","10.0829725829726","6521","5733","96.7032967032967"
"G11","Sample","10.2175969725639","6395","5460","96.7948717948718"
"G14","Sample","5.18850317282568","6566","5621","95.3211172389255"
"G15","Sample","8.43018213356461","6906","5984","96.3402406417112"
"G16","Sample","8.28389830508475","5820","4879","96.7411354785817"
"G17","Sample","9.49587136027814","5839","4831","95.2597805837301"
"G18","Sample","9.20256318974724","7127","5803","96.8119937963123"
"G19","Sample","9.58356064739043","6531","5693","96.5923063411207"
"G20","Sample","9.66487687465284","6505","5590","96.6189624329159"
"G21","Sample","9.28484355952865","6088","5085","96.7944936086529"
"G22","Sample","9.37924784775714","5606","4567","96.6498795708342"
"G23","Sample","9.62947882736156","6030","5072","96.8454258675079"
"H02","Sample","0.282137189208253","6806","5891","96.2654897300968"
"H03","Sample","0.94749309119621","6134","5265","96.2203228869896"
