"Experiment: LG117_DENV2_mut","Analysis: Analysis 1","User: lab user","Plate: Plate 0001","Plate Type: 384 Well","Plate Order: Row","Export Date: 2/15/2019","Export Time: 2:18:55 PM"
"Well ID","Well Type","%GFP+","Count of All Events","Count of cells","singlet as % of cells"
"B02","Sample","2.03804347826087","5823","5204","99.0007686395081"
"B03","Sample","5.05780346820809","6420","5564","99.4967649173257"
"B04","Sample","8.30991569650743","5723","5020","99.2430278884462"
"B05","Sample","12.0469522240527","5582","4902","99.06160750714"
"B06","Sample","14.6687009590235","5309","4646","98.751614291864"
"B07","Sample","14.324437030859","5517","4850","98.8865979381443"
"B08","Sample","16.5326395458846","4946","4288","98.6007462686567"
"B09","Sample","16.5314623985968","5252","4593","99.3032876115828"
"B10","Sample","15.4014918824046","5264","4600","99.0869565217391"
"B11","Sample","15.6040631078453","5283","4675","98.9732620320856"
"B14","Sample","1.27445700951355","6260","5639","98.7941124312821"
"B15","Sample","1.54440154440154","5842","5231","99.0250430128083"
"B16","Sample","2.97607078222401","5672","5019","99.0834827654911"
"B17","Sample","5.21112255406797","5543","4909","98.8999796292524"
"B18","Sample","5.86319218241042","5603","4964","98.9524576954069"
"B19","Sample","5.51484766679522","5808","5226","99.2345962495216"
"B20","Sample","5.97826086956522","6023","5378","99.219040535515"
"B21","Sample","5.26315789473684","5943","5254","99.086410354016"
"B22","Sample","4.85625485625486","5853","5184","99.3055555555556"
"B23","Sample","5.19735667083408","6316","5659","98.9397420038876"
"C02","Sample","2.47949291573453","6064","5432","98.7481590574374"
"C03","Sample","5.03764790247401","6516","5608","99.4650499286733"
"C04","Sample","9.5655806182122","5458","4848","98.7623762376238"
"C05","Sample","12.300922045264","5433","4814","99.1275446614042"
"C06","Sample","13.8495310317302","5787","5057","99.0903697844572"
"C07","Sample","15.9217301750772","5624","4905","98.9806320081549"
"C08","Sample","15.874419632987","5256","4584","98.6692844677138"
"C09","Sample","16.72192291753","5563","4881","98.8731817250563"
"C10","Sample","15.5398154110324","5386","4704","99.0433673469388"
"C11","Sample","16.7486583184258","5165","4506","99.2454505104305"
"C14","Sample","1.57944814462417","6021","5311","98.9455846356618"
"C15","Sample","2.80487804878049","5677","4986","98.676293622142"
"C16","Sample","4.67027460412908","5669","5035","99.0863952333664"
"C17","Sample","6.31940238239451","5697","5009","98.8820123777201"
"C18","Sample","9.72679713233869","5893","5208","99.0975422427035"
"C19","Sample","8.3955223880597","6192","5432","98.6745213549337"
"C20","Sample","7.51921995124695","6189","5412","98.540280857354"
"C21","Sample","7.77422790202343","6564","5700","98.8421052631579"
"C22","Sample","7.16231996885948","5905","5175","99.2850241545894"
"C23","Sample","7.12986540560204","6266","5556","98.9560835133189"
"D02","Sample","16.2419762692083","5882","5176","99.3238021638331"
"D03","Sample","15.4529616724739","6775","5797","99.0167327928239"
"D04","Sample","20.2444778039889","5471","4712","98.9601018675721"
"D05","Sample","20.0441988950276","5422","4576","98.8854895104895"
"D06","Sample","21.6222426470588","5083","4399","98.9315753580359"
"D07","Sample","20.2081918986196","5255","4476","98.7265415549598"
"D08","Sample","22.6013281428899","5070","4421","98.778556887582"
"D09","Sample","19.7149122807018","5263","4600","99.1304347826087"
"D10","Sample","21.0454854039375","5110","4477","98.7044896135805"
"D11","Sample","19.5989650711514","5396","4680","99.1025641025641"
"D14","Sample","0.836342900589242","6008","5314","99.0026345502446"
"D15","Sample","2.07619431566216","5666","5027","98.6870897155361"
"D16","Sample","4.89540651283157","5449","4708","98.4919286321155"
"D17","Sample","6.67326732673267","5704","5082","99.3703266430539"
"D18","Sample","8.27629122588674","5459","4864","99.1159539473684"
"D19","Sample","9.94837172359015","5812","5081","99.1143475693761"
"D20","Sample","11.2441130298273","5894","5162","98.721425803952"
"D21","Sample","10.293542074364","5858","5145","99.3197278911564"
"D22","Sample","10.0725388601036","5500","4854","99.4025545941492"
"D23","Sample","11.2553309846097","6233","5464","98.7005856515373"
"E02","Sample","17.1402998433654","5141","4517","98.9373477972105"
"E03","Sample","17.3809005873396","5395","4639","99.0946324638931"
"E04","Sample","21.2016574585635","5134","4378","99.223389675651"
"E05","Sample","22.7691616093504","5312","4491","99.064796259185"
"E06","Sample","20.3630796150481","5441","4607","99.2402865205123"
"E07","Sample","21.7352010845007","5291","4491","98.5526608773102"
"E08","Sample","22.0262324739937","5138","4481","98.6833296139255"
"E09","Sample","21.0444444444444","5222","4550","98.9010989010989"
"E10","Sample","20.952380952381","5021","4354","98.8745980707395"
"E11","Sample","21.3542870348972","5009","4376","98.8802559414991"
"E14","Sample","1.03886110042324","5882","5250","99.0095238095238"
"E15","Sample","1.89592577652279","5688","5020","98.7649402390438"
"E16","Sample","4.01176223482462","5549","4805","99.0842872008325"
"E17","Sample","6.25372245384157","5754","5083","99.0950226244344"
"E18","Sample","9.06135717188135","5664","4983","98.7758378486855"
"E19","Sample","10.4209657449443","5515","4887","99.1610394925312"
"E20","Sample","9.1855480710349","5619","4945","99.0697674418605"
"E21","Sample","10.8410493827161","6037","5242","98.893552079359"
"E22","Sample","11.0376188507648","5639","4895","98.8355464759959"
"E23","Sample","11.7721518987342","5482","4783","99.1009826468743"
"F02","Sample","3.7030110342248","6154","5412","98.7989652623799"
"F03","Sample","7.57403189066059","6038","5315","99.1157102539981"
"F04","Sample","13.0679449770738","5545","4846","99.009492364837"
"F05","Sample","15.0656814449918","5691","4929","98.8435788192331"
"F06","Sample","15.5465587044534","5741","4992","98.9583333333333"
"F07","Sample","14.6759070525887","5665","4955","99.0110998990918"
"F08","Sample","15.101397912975","5763","5141","98.7940089476756"
"F09","Sample","14.7598433312719","5537","4888","99.2430441898527"
"F10","Sample","15.6483790523691","5536","4872","98.7684729064039"
"F11","Sample","16.0750302541347","5767","5024","98.6863057324841"
"F14","Sample","5.12670565302144","5858","5187","98.9010989010989"
"F15","Sample","8.19601968756687","5322","4737","98.6489339244247"
"F16","Sample","9.70195272353546","5542","4910","99.0835030549898"
"F17","Sample","10.6841046277666","5682","5019","99.023709902371"
"F18","Sample","11.0571081409478","5701","4985","99.0571715145436"
"F19","Sample","9.72020725388601","5534","4890","98.6707566462168"
"F20","Sample","11.1824394284531","5509","4876","99.0360951599672"
"F21","Sample","11.2647417649451","5721","4970","98.953722334004"
"F22","Sample","11.1725899127474","5447","4753","98.863875447086"
"F23","Sample","10.7013301088271","5767","5016","98.9234449760766"
"G02","Sample","3.92007611798287","5902","5306","99.0388239728609"
"G03","Sample","6.95339143615006","6000","5332","98.9872468117029"
"G04","Sample","9.56715210355987","5709","4996","98.9591673338671"
"G05","Sample","14.3711381303568","5843","5067","99.0132228142885"
"G06","Sample","15.9569798068481","5327","4597","99.1081139873831"
"G07","Sample","17.7624247827056","5149","4525","99.1602209944751"
"G08","Sample","16.9443843323956","5276","4674","98.8660676080445"
"G09","Sample","18.808911739503","5484","4718","98.9402289105553"
"G10","Sample","17.5381263616558","5336","4653","98.6460348162476"
"G11","Sample","17.2655565293602","5280","4611","98.9806983300802"
"G14","Sample","4.8471615720524","5217","4618","99.1771329579905"
"G15","Sample","7.3063195465043","5430","4804","99.1465445462115"
"G16","Sample","10.2397399431126","5735","4988","98.6768243785084"
"G17","Sample","11.4142886898563","5578","4875","98.4820512820513"
"G18","Sample","11.210036422501","5683","4991","99.0182328190743"
"G19","Sample","11.5118174409128","5623","4958","98.9915288422751"
"G20","Sample","10.6555626734999","5341","4728","99.0482233502538"
"G21","Sample","11.6862432809078","5687","5070","99.0729783037475"
"G22","Sample","11.8233001299264","5415","4671","98.8653393277671"
"G23","Sample","12.0220900594732","5341","4759","98.9283462912376"
"H02","Sample","2.73321449792038","5849","5128","98.4594383775351"
"H03","Sample","5.60202295273293","6118","5198","98.9034243939977"
"H04","Sample","7.5009567546881","6023","5291","98.7714987714988"
"H05","Sample","10.0581878636741","5585","4866","98.8902589395808"
"H06","Sample","11.6759517177344","5041","4351","99.0117214433464"
"H07","Sample","10.9955752212389","5260","4579","98.7115090631142"
"H08","Sample","9.19739696312364","5331","4675","98.6096256684492"
"H09","Sample","9.65023177412558","5524","4792","99.0400667779633"
"H10","Sample","9.54741379310345","5299","4692","98.8917306052856"
"H11","Sample","8.85608856088561","5657","4942","98.7049777418049"
"H14","Sample","2.32149824424503","5825","5166","99.2257065427797"
"H15","Sample","3.45458240195082","5682","4977","98.8748241912799"
"H16","Sample","6.43829962855964","5627","4891","99.0799427519935"
"H17","Sample","9.30528999362651","5493","4766","98.762064624423"
"H18","Sample","11.8493440541684","5430","4777","98.932384341637"
"H19","Sample","11.3155833985904","5765","5160","98.9922480620155"
"H20","Sample","12.867103317135","5417","4773","99.1619526503248"
"H21","Sample","11.8085523734798","5798","5144","99.1057542768274"
"H22","Sample","12.2010539116336","5665","4979","99.0962040570396"
"H23","Sample","11.6673084328071","5985","5252","98.8956587966489"
"I02","Sample","3.15087861038174","5665","5019","98.6451484359434"
"I03","Sample","5.72541382667965","5907","5192","98.902157164869"
"I04","Sample","9.02808738296924","5302","4537","98.8759091910954"
"I05","Sample","11.0056925996205","5424","4779","99.2467043314501"
"I06","Sample","11.8089340999558","5317","4575","98.8415300546448"
"I07","Sample","11.6883116883117","5118","4366","98.7631699496106"
"I08","Sample","9.46758743595456","5148","4557","98.5077902128593"
"I09","Sample","9.40919037199125","5795","5081","98.9372170832513"
"I10","Sample","9.73031283710895","5370","4689","98.8483685220729"
"I11","Sample","10.7451973823095","5531","4823","98.2168774621605"
"I14","Sample","1.3801261829653","5774","5120","99.0625"
