"Experiment: LG128_DENV2_doublemut","Analysis: Analysis 1","User: lab user","Plate: Plate 0001","Plate Type: 384 Well","Plate Order: Row","Export Date: 3/13/2019","Export Time: 11:27:12 AM"
"Well ID","Well Type","%GFP+","Count of All Events","Count of cells","singlet as % of cells"
"B02","Sample","0","4850","2997","96.5298631965299"
"B03","Sample","0","4741","2800","96.5"
"B04","Sample","0.114351057747284","5494","3566","98.0931015143017"
"B05","Sample","0.978135788262371","5373","3566","97.4761637689288"
"B06","Sample","4.37382001258653","5120","3260","97.4846625766871"
"B07","Sample","5.2438209752839","4814","3112","96.2082262210797"
"B08","Sample","4.70341521869383","5436","3442","96.9785008715863"
"B09","Sample","6.38503708481135","5010","3199","96.9365426695842"
"B10","Sample","5.8264724509183","5027","3293","95.9003947767993"
"B11","Sample","6.24360286591607","4838","3043","96.319421623398"
"B14","Sample","6.30352860568688","4834","3031","96.3048498845266"
"B15","Sample","6.92545213939127","3911","2363","95.9373677528565"
"B16","Sample","7.36987563334869","3512","2249","96.5317919075144"
"B17","Sample","8.9","4754","3060","98.0392156862745"
"B18","Sample","10.4960141718335","3695","2331","96.8682968682969"
"B19","Sample","10.5022831050228","4243","2713","96.8669369701438"
"B20","Sample","11.0408765276022","3890","2457","96.5811965811966"
"B21","Sample","10.3347280334728","3836","2453","97.431716265797"
"B22","Sample","10.8861726508785","4280","2699","96.9988884772138"
"B23","Sample","9.3859992178334","4019","2623","97.4837971788029"
"C02","Sample","0.0589275191514437","5193","3484","97.4167623421355"
"C03","Sample","0.0350140056022409","4705","2951","96.7807522873602"
"C04","Sample","0","4768","2853","97.1258324570627"
"C05","Sample","0.503619767075858","5215","3267","97.2451790633609"
"C06","Sample","3.47764371894961","4619","2898","97.2394755003451"
"C07","Sample","5.94239883339409","4440","2814","97.4769012082445"
"C08","Sample","4.92449113591596","4914","3152","96.6370558375635"
"C09","Sample","6.02623183268345","4546","2924","96.4774281805745"
"C10","Sample","5.74387947269303","5083","3274","97.3121563836286"
"C11","Sample","5.75125808770669","4569","2860","97.2727272727273"
