"Experiment: LG128_DENV2_doublemut","Analysis: Analysis 1","User: lab user","Plate: Plate 0004","Plate Type: 384 Well","Plate Order: Row","Export Date: 3/13/2019","Export Time: 12:37:47 PM"
"Well ID","Well Type","%GFP+","Count of All Events","Count of cells","singlet as % of cells"
"B02","Sample","2.18233016543471","5171","2965","95.8178752107926"
"B03","Sample","2.6707530647986","4075","2383","95.8455728073856"
"B04","Sample","3.7791932059448","4276","2435","96.7145790554415"
"B05","Sample","5.74066639903653","4295","2578","96.6252909231963"
"B06","Sample","5.00305064063453","5235","3354","97.7340488968396"
"B07","Sample","5.79040852575489","4809","2918","96.4701850582591"
"B08","Sample","6.80608365019011","4729","2735","96.1608775137111"
"B09","Sample","6.68658946581995","4780","2752","97.2747093023256"
"B10","Sample","6.60214310404425","4915","2999","96.4654884961654"
"B11","Sample","7.22618276085548","5058","3177","97.1356625747561"
"B14","Sample","6.81740322028092","5243","3011","96.9445366987712"
"B15","Sample","8.88316704216286","5138","3219","96.5206585896241"
"B16","Sample","10.7650438463865","5259","3388","97.6092089728453"
"B17","Sample","9.43012211668928","4941","3027","97.3901552692435"
"B18","Sample","9.47721554375175","5553","3669","97.492504769692"
"B19","Sample","9.58804228946409","4656","2821","97.2350230414746"
"B20","Sample","9.4139650872818","4881","3283","97.7155041120926"
"B21","Sample","8.88661899897855","5092","3095","94.8949919224556"
"B22","Sample","9.14285714285714","4728","3072","96.8424479166667"
"B23","Sample","9.78623914495658","4880","3086","97.0187945560596"
"C02","Sample","2.80090840272521","4156","2744","96.2827988338192"
"C03","Sample","3.74736842105263","3912","2458","96.6232709519935"
"C04","Sample","3.6318407960199","4402","2113","95.1254141031708"
"C05","Sample","6.15926088869336","3997","2348","96.8057921635434"
"C06","Sample","5.3403995108031","4354","2557","95.9327336722722"
"C07","Sample","6.70482420278005","4277","2552","95.846394984326"
"C08","Sample","7.07374040707374","4853","3078","97.3684210526316"
"C09","Sample","6.56108597285068","5381","3633","97.3300302780071"
"C10","Sample","7.45789895749799","4348","2582","96.5917893106119"
"C11","Sample","7.6172607879925","4502","2764","96.4182344428365"
"C14","Sample","8.6024750980984","5348","3417","96.9563944980977"
"C15","Sample","7.89650537634409","4891","3086","96.4355152300713"
"C16","Sample","9.16030534351145","4621","2842","96.7980295566502"
"C17","Sample","9.13156913902348","4330","2759","97.2453787604204"
"C18","Sample","8.2445894881484","4751","2979","97.7173548170527"
"C19","Sample","9.5166729112027","4443","2752","96.984011627907"
"C20","Sample","9.3109243697479","4795","3075","96.7479674796748"
"C21","Sample","8.9387239418825","5019","3264","96.9975490196078"
"C22","Sample","8.07984790874525","5128","3247","97.1974129966122"
"C23","Sample","10.0369003690037","4501","2801","96.7511602998929"
"D02","Sample","1.5130674002751","3866","2262","96.4190981432361"
"D03","Sample","1.59770585825481","4252","2523","96.7499009116132"
"D04","Sample","2.16049382716049","4788","3017","96.6523036128605"
"D05","Sample","3.13999127780201","4013","2365","96.9556025369979"
"D06","Sample","3.74806800618238","4474","2671","96.8925496068888"
"D07","Sample","3.97599399849963","4528","2736","97.4415204678363"
"D08","Sample","4.75809676129548","4141","2599","96.2293189688342"
"D09","Sample","4.68806346916697","4557","2848","97.3665730337079"
"D10","Sample","5.62356541698546","4480","2708","96.5288035450517"
"D11","Sample","5.55167597765363","4753","2944","97.2826086956522"
"D14","Sample","1.05561277033986","6003","3990","97.34335839599"
"D15","Sample","1.460047783382","5666","3826","98.4579194981704"
"D16","Sample","2.11111111111111","5505","3676","97.9325353645267"
"D17","Sample","3.54980737479362","5533","3714","97.8459881529348"
"D18","Sample","6.50714911000875","5413","3489","98.2229865290914"
"D19","Sample","6.87382297551789","4994","3302","96.4869775893398"
"D20","Sample","7.6331529478781","5208","3590","97.7994428969359"
"D21","Sample","7.84883720930233","4785","3199","96.7802438261957"
"D22","Sample","7.81200381073357","4790","3224","97.6736972704715"
"D23","Sample","7.18999652657173","4671","2983","96.5135769359705"
"E02","Sample","1.43633540372671","4161","2666","96.6241560390097"
"E03","Sample","1.45118733509235","3884","2351","96.7247979583156"
"E04","Sample","1.66320166320166","4354","2496","96.3541666666667"
"E05","Sample","3.03514376996805","4284","2585","96.8665377176015"
"E06","Sample","2.82868525896414","4355","2605","96.3531669865643"
"E07","Sample","3.76131221719457","5334","3632","97.3568281938326"
"E08","Sample","5.07305194805195","4245","2541","96.969696969697"
"E09","Sample","4.68148148148148","5270","3453","97.7410947002606"
"E10","Sample","5.03829101168884","4256","2570","96.5369649805447"
"E11","Sample","5.32458059810357","4549","2817","97.3375931842385"
"E14","Sample","1.23864574731627","5429","3713","97.8454080258551"
"E15","Sample","1.47943831494483","5954","4075","97.8650306748466"
"E16","Sample","1.54466084620551","4687","3053","97.5433999344907"
"E17","Sample","3.36935791481246","4935","3230","97.3993808049536"
"E18","Sample","3.86754966887417","5788","3855","97.9247730220493"
"E19","Sample","6.10130468150422","4351","2689","96.9133506879881"
"E20","Sample","6.42390930951563","4799","2998","97.0980653769179"
"E21","Sample","7.10639968590499","4429","2642","96.4042392127176"
"E22","Sample","7.27606236624885","5119","3361","97.3222255281166"
"E23","Sample","7.89747142362314","4668","2979","96.9117153407184"
"F02","Sample","4.16666666666667","4088","2533","96.6442953020134"
"F03","Sample","4.6234509056244","3699","2174","96.5041398344066"
"F04","Sample","4.45205479452055","4046","2439","95.7769577695777"
"F05","Sample","5.0080775444265","4152","2558","96.7943706020328"
"F06","Sample","5.71108622620381","4544","2765","96.8896925858951"
"F07","Sample","5.81247348324141","4227","2439","96.6379663796638"
"F08","Sample","5.68952524491334","4321","2746","96.6496722505462"
"F09","Sample","5.5045871559633","4372","2698","96.9607116382505"
"F10","Sample","5.77571669477234","4095","2445","97.0143149284254"
"F11","Sample","5.89439214081048","4228","2536","96.3328075709779"
"F14","Sample","0.273410799726589","4964","3030","96.5676567656766"
"F15","Sample","0.632700632700633","4889","3119","96.2808592497595"
"F16","Sample","0.632711167352104","5052","3248","97.3214285714286"
"F17","Sample","1.68928274716145","5645","3707","97.4103048287025"
"F18","Sample","3.21285140562249","5408","3570","97.6470588235294"
"F19","Sample","5.22710886806056","4738","2858","97.0608817354793"
"F20","Sample","5.52486187845304","5343","3522","97.6433844406587"
"F21","Sample","6.2751677852349","4769","3079","96.7846703475154"
"F22","Sample","5.70221752903907","4633","2937","96.7313585291113"
"F23","Sample","5.8217962371317","4618","2932","96.0777626193724"
"G02","Sample","4.94601184256357","4433","2932","97.9195088676671"
"G03","Sample","5.44799639801891","3734","2299","96.6072205306655"
"G04","Sample","5.80098170459616","4130","2330","96.1802575107296"
"G05","Sample","6.56901908566356","3986","2347","95.994887089902"
"G06","Sample","6.68968493741908","3924","2390","96.9456066945607"
"G07","Sample","6.60377358490566","4121","2432","95.8881578947368"
"G08","Sample","6.11132736473336","4226","2643","97.2001513431706"
"G09","Sample","6.20744893872647","4330","2606","95.817344589409"
"G10","Sample","5.68682418902683","4410","2573","97.0462495141858"
"G11","Sample","5.64879246827671","4187","2535","96.370808678501"
"G14","Sample","0.214976710856324","4555","2896","96.3743093922652"
