"Experiment: LG98_Quake","Analysis: Analysis 1","User: lab user","Plate: Plate 0001","Plate Type: 384 Well","Plate Order: Row","Export Date: 12/7/2018","Export Time: 9:54:30 AM"
"Well ID","Well Type","%GFP+","Count of All Events","Count of cells","singlet as % of cells"
"B02","Sample","1.7206063088898","3994","2758","88.5061638868745"
"B03","Sample","4.11418975650714","3519","2641","90.193108670958"
"B04","Sample","6.56565656565657","3648","2705","87.8373382624769"
"B05","Sample","7.97068254695373","3326","2497","87.4249098918702"
"B06","Sample","10.5508474576271","3356","2616","90.2140672782875"
"B07","Sample","11.9918699186992","3732","2826","87.0488322717622"
"B08","Sample","14.0625","3948","3062","89.8758981058132"
"B09","Sample","12.5994694960212","3406","2559","88.3939038686987"
"B10","Sample","13.7578616352201","3667","2834","89.7671136203246"
"B11","Sample","12.5856164383562","3525","2649","88.1842204605511"
"B14","Sample","1.23329907502569","4405","3257","89.6223518575376"
"B15","Sample","1.99692780337942","3975","2925","89.025641025641"
"B16","Sample","2.72727272727273","4215","3190","89.6551724137931"
"B17","Sample","3.36071695294996","4033","3070","87.2312703583062"
"B18","Sample","4.37246963562753","3765","2792","88.4670487106017"
"B19","Sample","3.78758297540023","3822","2907","88.0976952184382"
"B20","Sample","5.09241795548849","3875","2991","88.6325643597459"
"B21","Sample","2.8866867729427","3580","2663","87.1573413443485"
"B22","Sample","4.02070063694268","3634","2783","90.2623068630974"
"B23","Sample","3.50269438029253","3785","2912","89.217032967033"
"C02","Sample","1.01873151495235","4391","3391","89.7375405485108"
"C03","Sample","2.35651843405549","3787","2941","89.4593675620537"
"C04","Sample","4.68688460023631","3885","2869","88.4977344022307"
"C05","Sample","5.85714285714286","4055","3168","88.3838383838384"
"C06","Sample","7.76818742293465","3674","2755","88.3121597096189"
"C07","Sample","7.62509928514694","3708","2839","88.6932018316309"
"C08","Sample","11.5936952714536","4162","3203","89.1351857633469"
"C09","Sample","9.14922349763673","4381","3340","88.6826347305389"
"C10","Sample","10.1694915254237","4038","3079","90.0617083468659"
"C11","Sample","11.9324181626188","4208","3173","89.536716041601"
"C14","Sample","1.54307758251179","3711","2688","86.7931547619048"
"C15","Sample","3.33614864864865","3514","2654","89.2238131122834"
"C16","Sample","3.12951372171401","3089","2364","87.8595600676819"
"C17","Sample","3.73076923076923","3840","2977","87.3362445414847"
"C18","Sample","3.2953620829943","3738","2806","87.5980042765502"
"C19","Sample","4.31235431235431","3729","2896","88.8812154696133"
"C20","Sample","3.41091492776886","3799","2784","89.5114942528736"
"C21","Sample","4.24752837788356","3893","3030","90.1320132013201"
"C22","Sample","3.31384015594542","3822","2887","88.8465535157603"
"C23","Sample","4.86510393631137","3382","2507","90.1874750698045"
"D02","Sample","0","4154","3160","89.5886075949367"
"D03","Sample","0.0755287009063444","3833","2911","90.9653040192374"
"D04","Sample","0.137362637362637","4221","3301","88.2156922144805"
"D05","Sample","0.46260601387818","3721","2941","88.2012920775246"
"D06","Sample","4.13284132841329","3885","3017","89.8243288034471"
"D07","Sample","6.02121108450222","4306","3289","88.8719975676497"
"D08","Sample","8.4493041749503","4435","3465","87.0995670995671"
"D09","Sample","9.07063197026022","3971","3052","88.1389252948886"
"D10","Sample","9.0110729285987","3913","2974","88.0632145258911"
"D11","Sample","10.4457298400817","4228","3305","88.9258698940998"
"D14","Sample","0.16214025131739","3797","2826","87.2965322009908"
"D15","Sample","0.0455996352029184","3363","2494","87.9310344827586"
"D16","Sample","0.0839630562552477","3756","2766","86.117136659436"
"D17","Sample","1.00321027287319","3704","2848","87.5"
"D18","Sample","2.32273838630807","3506","2781","88.2416396979504"
"D19","Sample","3.26825127334465","3520","2664","88.4384384384384"
"D20","Sample","3.28812166050144","3562","2753","88.3763167453687"
"D21","Sample","3.39055793991416","3433","2645","88.0907372400756"
"D22","Sample","3.59774599046381","3496","2662","86.664162283997"
"D23","Sample","3.9863879436072","3111","2313","88.9321227842629"
"E02","Sample","0","4232","3225","89.0852713178295"
"E03","Sample","0.0402090872537193","3554","2782","89.3961179007908"
"E04","Sample","0.040950040950041","3618","2778","87.9049676025918"
"E05","Sample","0.387596899224806","3824","2924","88.2352941176471"
"E06","Sample","1.14503816793893","3781","2932","89.3587994542974"
"E07","Sample","2.96377607025247","4005","3063","89.2262487757101"
"E08","Sample","7.64751552795031","3908","2962","86.968264686023"
"E09","Sample","8.05036245707745","3818","2972","88.1897711978466"
"E10","Sample","9.90320178704393","3979","3047","88.1522809320643"
"E11","Sample","10.6806661839247","4164","3184","86.7462311557789"
"E14","Sample","0.0372995151063036","4028","3012","89.0106241699867"
"E15","Sample","0","3962","2923","88.060212110845"
"E16","Sample","0.0930665425779432","3354","2493","86.2013638186923"
"E17","Sample","0.812231247013856","3263","2386","87.7200335289187"
"E18","Sample","3.02554027504912","3972","2906","87.5774260151411"
