"Experiment: LG99_Quake_std_Furin","Analysis: Analysis 1","User: lab user","Plate: Plate 0001","Plate Type: 384 Well","Plate Order: Row","Export Date: 12/12/2018","Export Time: 10:16:03 AM"
"Well ID","Well Type","%GFP+","Count of All Events","Count of cells","singlet as % of cells"
"B02","Sample","0.443641143608281","8004","6439","94.5177822643268"
"B03","Sample","0.922075574037245","7109","5866","94.2891237640641"
"B04","Sample","2.12527964205817","6775","5645","95.022143489814"
"B05","Sample","3.540735647989","7342","6186","94.0510830908503"
"B06","Sample","5.59120073327223","6826","5776","94.4425207756233"
"B07","Sample","6.60342940532652","6879","5773","94.9592932617357"
"B08","Sample","7.41337630942788","6218","5247","94.6064417762531"
"B09","Sample","7.80335544284042","6339","5437","94.2799337870149"
"B10","Sample","8.09484873262469","6175","5194","94.185598767809"
"B11","Sample","8.44117061517022","6316","5333","94.1871366960435"
"B14","Sample","2.67679508048472","7042","5767","95.873070920756"
"B15","Sample","7.08871132964557","6167","5100","95.7058823529412"
"B16","Sample","10.1795263559969","6591","5454","96.002933626696"
"B17","Sample","12.6515280860509","7183","6139","95.4064179833849"
"B18","Sample","14.2151855635002","7196","6175","95.1255060728745"
"B19","Sample","14.0653541708951","6157","5210","94.5681381957774"
"B20","Sample","16.8181818181818","5797","4886","94.5558739255014"
"B21","Sample","15.2210408505876","6591","5632","95.1882102272727"
"B22","Sample","14.5657255889229","6862","5870","94.7359454855196"
"B23","Sample","13.7581587083476","7054","6192","94.0245478036176"
"C02","Sample","0.520745842432387","7535","6288","94.6723918575064"
"C03","Sample","0.915254237288136","7469","6285","93.8743038981702"
"C04","Sample","2.32978147011017","7051","5881","94.1506546505696"
"C05","Sample","4.12004972473806","6994","5952","94.6068548387097"
"C06","Sample","5.63537973502519","6712","5658","94.7154471544715"
"C07","Sample","6.768968456948","7188","6118","95.8646616541353"
"C08","Sample","7.30666666666667","7043","5996","93.812541694463"
"C09","Sample","6.79293389182298","6883","5883","93.3367329593745"
"C10","Sample","8.17886489585324","6562","5545","94.3733092876465"
"C11","Sample","6.33975481611208","7048","6074","94.0072439907804"
"C14","Sample","2.56477361947134","5242","4031","94.7903745968742"
"C15","Sample","6.70718926849717","6168","5007","95.2865987617336"
"C16","Sample","8.28320222119389","5769","4582","94.325621999127"
"C17","Sample","13.3045525902669","6372","5363","95.0214432220772"
"C18","Sample","10.535876475931","6796","5778","95.2751817237799"
"C19","Sample","12.0794806216801","6457","5276","96.3419257012889"
"C20","Sample","10.5532103976894","5911","4783","94.1041187539201"
"C21","Sample","12.0689655172414","6804","5835","94.4301628106255"
"C22","Sample","13.9375476009139","6420","5538","94.8356807511737"
"C23","Sample","14.3521709166092","7143","6119","94.8521000163425"
"D02","Sample","0.473843821076573","6695","5605","94.1302408563782"
"D03","Sample","0.130572654355531","6781","5720","93.7237762237762"
"D04","Sample","0.412816984470218","6409","5400","94.2037037037037"
"D05","Sample","2.80393835616438","5982","4931","94.7475157168931"
"D06","Sample","5.79888957433683","6118","5155","94.3355965082444"
"D07","Sample","8.26","6252","5261","95.0389659760502"
"D08","Sample","8.52806552637919","5382","4345","95.5350978135788"
"D09","Sample","9.02806870548806","5932","5106","93.4978456717587"
"D10","Sample","8.80675336527493","5488","4681","93.633838923307"
"D11","Sample","8.05760996496691","6554","5475","93.8447488584475"
"D14","Sample","0.106044538706257","6022","5033","93.6817007748858"
"D15","Sample","0.0700934579439252","5436","4531","94.4603840211874"
"D16","Sample","3.3160621761658","6149","5111","94.40422617883"
"D17","Sample","4.9671592775041","6205","5133","94.9152542372881"
"D18","Sample","8.65518845974872","5523","4456","96.4542190305206"
"D19","Sample","8.91435230141775","6484","5398","95.387180437199"
"D20","Sample","10.6329113924051","6026","4927","96.2045869697585"
"D21","Sample","11.0040676514665","5940","4929","94.765672550213"
