ab ID,ED50,ED50 error,%GFP at ab max,RSD,plate
AB_L_1,35.43,38.96,280.13,0.156,LG100_Plate1_L
AB_L_2,29.78,3.36,184.51,0.052,LG100_Plate1_L
AB_L_3,38.12,5.46,2323.67,0.033,LG100_Plate1_L
AB_L_4,78.81,14.81,225.76,0.057,LG100_Plate1_L
AB_L_5,797.51,1078.78,9881.91,0.053,LG100_Plate1_L
AB_R_1,2463.56,1970.91,2238.63,0.106,LG100_Plate1_R
AB_R_2,739.34,371.22,765.02,0.063,LG100_Plate1_R
AB_R_3,14021.61,21500.31,4853.17,0.031,LG100_Plate1_R
AB_R_4,1461.45,821.2,5832.53,0.036,LG100_Plate1_R
AB_R_5,101.9,NA,10441.63,0.022,LG100_Plate1_R
AB_L_1,0.49,28.81,7787.94,0.056,LG100_Plate2_L
AB_L_2,30.04,401.46,7521.95,0.025,LG100_Plate2_L
AB_L_3,0.27,0.28,6748.2,0.03,LG100_Plate2_L
AB_L_4,0.02,0.01,8017.3,0.044,LG100_Plate2_L
AB_L_5,17.76,1.71,661.08,0.041,LG100_Plate2_L
AB_R_1,41.46,634.44,6987.07,0.063,LG100_Plate2_R
AB_R_2,0.13,0.66,7700.45,0.033,LG100_Plate2_R
AB_R_3,4330.17,12208.36,3365.12,0.061,LG100_Plate2_R
AB_R_4,1337.76,1561.62,7228.92,0.029,LG100_Plate2_R
AB_R_5,518,97.68,1160.59,0.052,LG100_Plate2_R
AB_L_1,154.44,35.92,1300.96,0.039,LG104_Plate1_L
AB_L_2,81.56,18.72,138.77,0.11,LG104_Plate1_L
AB_L_3,116.7,40.68,2215.94,0.054,LG104_Plate1_L
AB_L_4,207.45,79.17,360.6,0.087,LG104_Plate1_L
AB_L_5,248.32,713.29,11030.55,0.053,LG104_Plate1_L
AB_R_1,4493.9,7725.52,4606.36,0.06,LG104_Plate1_R
AB_R_2,866.52,424.96,1162.7,0.094,LG104_Plate1_R
AB_R_3,1650.27,784.08,6673.35,0.054,LG104_Plate1_R
AB_R_4,5869.57,11520.96,5899.1,0.045,LG104_Plate1_R
AB_R_5,4260.62,NA,9315.85,0.079,LG104_Plate1_R
AB_L_1,1.39,2.15,9934,0.038,LG104_Plate2_L
AB_L_2,0.03,0.08,10198.61,0.053,LG104_Plate2_L
AB_L_3,71.82,43.11,9106.87,0.029,LG104_Plate2_L
AB_L_4,24.34,36.7,11350.13,0.073,LG104_Plate2_L
AB_L_5,21.02,3.7,2375.89,0.05,LG104_Plate2_L
AB_R_1,2724.09,NA,9168.52,0.067,LG104_Plate2_R
AB_R_2,4.16,5.41,9995.21,0.028,LG104_Plate2_R
AB_R_3,2003.78,439.16,6530.72,0.047,LG104_Plate2_R
NA,NA,NA,NA,NA,LG104_Plate2_R
AB_R_5,392.71,84.22,2953.61,0.037,LG104_Plate2_R
AB_L_1,141.01,69.99,1830.07,0.046,LG104_Plate3_L
AB_L_2,82.76,37.17,1249.97,0.048,LG104_Plate3_L
AB_L_3,71.98,41.53,1626.64,0.11,LG104_Plate3_L
AB_L_4,176.87,329.79,4086.84,0.064,LG104_Plate3_L
AB_L_5,2271.46,2118.67,6035.79,0.054,LG104_Plate3_L
AB_L_6,1649.11,1413.57,5985.46,0.072,LG104_Plate3_L
AB_R_1,332.78,103,249.91,0.077,LG104_Plate3_R
AB_R_2,278.72,20.8,269.49,0.014,LG104_Plate3_R
AB_R_3,287.39,111.77,668.14,0.076,LG104_Plate3_R
AB_R_4,176.87,329.79,4086.84,0.064,LG104_Plate3_R
AB_R_5,22.73,5.82,328.02,0.101,LG104_Plate3_R
NA,NA,NA,NA,NA,LG104_Plate3_R
AB_L_1,43165.53,10,10603.11,0.061,LG104_Plate4_L
AB_L_2,408.73,160.08,9534.55,0.04,LG104_Plate4_L
NA,NA,NA,NA,NA,LG104_Plate4_L
AB_L_4,45.08,198.31,8384.52,0.034,LG104_Plate4_L
AB_L_5,14.23,808.16,8848.3,0.058,LG104_Plate4_L
AB_L_6,25.77,13.11,1693.98,0.073,LG104_Plate4_L
AB_R_1,332.78,103,249.91,0.077,LG104_Plate4_R
AB_R_2,278.72,20.8,269.49,0.014,LG104_Plate4_R
AB_R_3,287.39,111.77,668.14,0.076,LG104_Plate4_R
AB_R_4,176.87,329.79,4086.84,0.064,LG104_Plate4_R
